3_2:321405145023503241230154412530054312;0;11;0.0133413;1.0001967;3;-1;-1;-1;-1;-1;-1;-1;5;0;2;-1;5;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;5;-1;0;-1;-1;4;-1;1;-1;36
3_2:321405145023503241230154412530054312;1;14;0.0106131;1.0047162;3;2;1;-1;-1;-1;-1;-1;-1;0;-1;3;5;-1;-1;2;-1;-1;2;-1;-1;-1;-1;4;-1;1;2;-1;3;-1;-1;-1;4;-1;1;-1;36
3_2:210345451230304512543021032154125403;0;9;0.0089494;1.000189;-1;-1;-1;3;4;-1;-1;5;1;-1;-1;0;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;1;-1;5;-1;-1;-1;36
3_2:210345451230304512543021032154125403;1;23;0.9436878000000001;1.0085644;2;-1;-1;3;4;5;4;5;1;2;-1;-1;-1;-1;-1;5;1;2;5;4;3;-1;2;-1;-1;3;-1;1;5;4;1;2;5;-1;-1;3;36
3_2:210345451230304512543021032154125403;1;24;0.010183900000000001;1.0085644;2;-1;-1;3;4;5;4;5;1;2;-1;-1;-1;0;-1;5;1;2;5;4;3;-1;2;-1;-1;-1;2;1;5;4;1;2;5;-1;-1;3;36
3_2:542310130452025134413205304521251043;0;9;0.7583246;1.000675;5;-1;-1;3;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;1;3;2;-1;-1;-1;0;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;36
3_2:542310130452025134413205304521251043;0;10;0.2538882;1.000675;5;-1;-1;3;-1;-1;1;-1;0;-1;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;3;2;0;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;4;-1;36
3_2:542310130452025134413205304521251043;0;11;0.006510500000000001;1.000675;5;-1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3;-1;-1;1;3;2;0;-1;-1;-1;-1;-1;-1;-1;2;5;-1;-1;-1;-1;36
3_2:542310130452025134413205304521251043;1;19;0.010132500000000001;1.0000182;-1;-1;2;3;1;0;-1;3;0;-1;-1;2;-1;-1;-1;1;3;4;4;1;3;-1;-1;-1;3;0;-1;-1;2;-1;2;-1;-1;0;4;-1;36
3_2:045213123054354102512430230541401325;0;9;0.1615113;1.0001081;-1;-1;5;-1;-1;-1;-1;2;-1;0;-1;-1;3;-1;-1;-1;-1;2;5;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;-1;4;0;-1;-1;-1;-1;36
3_2:045213123054354102512430230541401325;0;10;0.006321;1.0001081;0;-1;5;-1;-1;3;-1;2;-1;0;-1;-1;-1;-1;-1;-1;-1;2;5;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;3;-1;-1;36
3_2:045213123054354102512430230541401325;1;15;0.0080833;1.0003681;0;-1;5;-1;-1;-1;-1;-1;-1;0;5;4;3;5;-1;-1;-1;-1;-1;-1;-1;4;3;0;-1;3;0;-1;-1;-1;-1;-1;-1;3;2;5;36
3_2:134052023514542130405321310245251403;0;8;0.24526830000000002;10.001366200000001;-1;-1;-1;0;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;1;-1;0;-1;-1;5;-1;2;-1;3;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36
3_2:134052023514542130405321310245251403;0;9;0.2277652;10.001366200000001;-1;-1;-1;0;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;1;-1;0;4;-1;5;-1;2;-1;3;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;36
3_2:134052023514542130405321310245251403;0;10;0.0947463;10.001366200000001;-1;-1;-1;0;-1;-1;-1;2;-1;-1;-1;-1;5;-1;-1;1;-1;0;4;-1;5;-1;2;-1;-1;1;-1;2;-1;-1;-1;-1;-1;-1;-1;-1;36
3_2:134052023514542130405321310245251403;1;13;0.0142766;10.0032568;1;-1;4;-1;-1;-1;-1;-1;-1;5;1;-1;-1;4;-1;-1;-1;0;-1;0;-1;-1;-1;1;-1;-1;-1;2;4;-1;2;5;1;-1;-1;-1;36
3_2:324150510234045321203415431502152043;0;9;0.0243325;10.0001384;-1;-1;-1;-1;5;-1;-1;-1;-1;2;-1;4;-1;-1;5;3;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;1;-1;0;-1;-1;5;-1;-1;-1;-1;36
3_2:324150510234045321203415431502152043;0;10;0.0175625;10.0001384;-1;-1;-1;-1;5;-1;-1;-1;-1;2;-1;4;-1;-1;5;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;1;5;0;-1;-1;5;-1;-1;-1;-1;36
3_2:324150510234045321203415431502152043;0;11;0.0100592;10.0001384;-1;-1;-1;-1;5;-1;-1;-1;-1;2;-1;4;-1;-1;5;3;-1;-1;2;-1;-1;-1;-1;-1;-1;3;1;5;-1;-1;-1;5;-1;0;-1;-1;36
3_2:324150510234045321203415431502152043;1;19;0.012372900000000001;10.0009917;3;-1;-1;1;5;-1;5;1;0;-1;3;-1;-1;-1;5;3;-1;1;-1;0;3;-1;-1;5;4;3;1;-1;-1;-1;-1;-1;-1;0;4;3;36
3_2:013524234015542130451302120453305241;0;8;9.001805800000001;10.0002267;-1;-1;3;-1;-1;4;-1;3;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;0;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;36
3_2:013524234015542130451302120453305241;0;9;0.0212105;10.0002267;-1;-1;3;-1;-1;4;-1;-1;4;-1;1;5;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;0;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;36
3_2:013524234015542130451302120453305241;0;10;0.014188300000000001;10.0002267;-1;-1;-1;-1;-1;4;-1;-1;4;-1;1;5;-1;-1;2;-1;-1;-1;4;-1;-1;3;0;-1;1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;36
3_2:013524234015542130451302120453305241;1;11;0.0120552;10.002239300000001;-1;1;-1;-1;2;-1;-1;3;-1;-1;1;-1;-1;-1;-1;1;-1;0;4;-1;-1;-1;-1;-1;-1;-1;-1;4;-1;3;3;-1;5;-1;-1;-1;36
3_2:142305325041504123413250051432230514;0;9;0.23037380000000002;10.0000687;1;-1;-1;3;0;-1;3;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;1;-1;-1;2;-1;-1;0;-1;-1;-1;36
3_2:142305325041504123413250051432230514;0;10;0.0104235;10.0000687;1;-1;-1;-1;-1;-1;3;-1;-1;0;4;-1;-1;-1;4;-1;-1;3;-1;-1;-1;2;5;-1;0;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36
3_2:142305325041504123413250051432230514;1;21;3.0313328000000004;10.000062;-1;4;-1;3;0;5;3;2;5;-1;-1;-1;5;0;4;-1;-1;3;-1;-1;-1;2;5;0;0;5;1;4;-1;-1;-1;-1;-1;5;1;4;36
3_2:142305325041504123413250051432230514;1;22;2.3757969;10.000062;-1;-1;2;3;0;5;3;2;5;-1;-1;-1;5;0;4;-1;2;-1;4;-1;-1;2;5;0;0;5;1;4;-1;-1;-1;-1;-1;5;1;4;36
3_2:142305325041504123413250051432230514;1;23;0.0080187;10.000062;-1;-1;2;3;0;5;3;2;5;-1;4;-1;5;0;4;-1;-1;3;-1;1;-1;2;5;0;0;5;1;4;-1;-1;-1;-1;-1;5;1;4;36
3_2:423015531240014532302451245103150324;0;8;2.5671427;10.0003144;4;-1;-1;-1;-1;5;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;1;-1;-1;3;2;-1;36
